INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
513974,800006085,Humbolt Park Elderly/Plaza Taino,1111 N Francisco Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60622,41.901431,-87.699073,R,43,11/6/2013 10:30
513986,800067949,St. Sabina Sr. Suites,1222 W 79th St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60620,41.750642,-87.654663,R,94,11/5/2013 9:44
514006,800068343,McKinley III,5000 W West End Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60644,41.883243,-87.750275,R,64,11/12/2013 9:21
514084,800212941,Washington Park Elderly,5040 S Indiana Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60615,41.803154,-87.621262,R,86,10/21/2013 10:00
514372,800006267,Racine Terrace,4409 N Racine Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.962065,-87.659352,R,74,2/19/2014 10:15
514390,800006280,Lincoln Park Plaza,600 W Diversey Pkwy,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60614,41.933012,-87.644042,R,44,1/23/2014 10:17
514494,800005705,ARMITAGE COMMONS,3720 W Armitage Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60647,41.917425,-87.719933,R,65,2/5/2014 9:57
514592,800068316,Congress Apartments,418 S Karlov Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60624,41.875479,-87.728172,R,75,1/27/2014 10:00
514661,800006349,Spring Grove Apartments,4554 S Drexel Blvd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.812247,-87.604626,R,61,2/21/2014 10:27
514736,800006404,CREGIER APARTMENTS,6928 S Cregier Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60649,41.769244,-87.581528,R,99,1/28/2014 15:36
514759,800005771,Campbell Terrace,2061 N Campbell Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60647,41.919254,-87.688969,R,80,2/18/2014 10:00
